Conflict Id,Lon,Lat,ConflictEvent: Compensation
4,-0.10986328125,51.4882243263235,1
13,5.3657,48.5196,1
14,5.75640678405762,43.6894581369689,1
17,-122.392859,37.933299,1
21,-90.423598,30.003585,1
36,34.075813293457,0.00944136684005265,1
43,40.9683,-1.9308,1
47,40.1358032226562,-1.92910929338662,1
50,-70.19474029541016,11.736621652041043,1
86,-10.3903198242188,42.7086778174131,1
88,-100.07755279541,19.3841904267546,1
90,118.31385734375,-22.2556372411354,1
124,39.5645141601562,52.6047155934752,1
151,35.7948303222656,-4.89804544963269,1
156,33.1818008422852,0.446658378686803,1
158,36.639404380694,5.89422811815426,1
159,30.3607177734375,19.775514897192,1
162,34.6488813310862,8.23570850298094,1
163,-2.34124861657619,6.54484323430496,1
164,-1.70614242553711,4.93574971768011,1
169,31.519775390625,31.3787944393069,1
170,-10.4618167877197,7.61376316875479,1
172,13.1580708260299,-1.40021169847821,1
182,105.324554443359,20.8079529725749,1
183,107.829437255859,14.2279869545105,1
184,103.994994163513,21.4960399522963,1
188,75.650879,22.171189,1
189,73.740234375,21.8334562542541,1
191,76.4314556121826,31.4105714697911,1
195,22.742386,-29.652256,1
197,130.3981,32.2186,1
199,145.134887695312,-7.87104959266074,1
201,-40.5,-14.433,1
202,-41.768935918808,-22.3864234656639,1
210,-38.7273216247559,-12.568805467213,1
211,-56.304931640625,-2.40804320968852,1
213,-56.3770294189453,-1.46651465214353,1
214,-51.06445312500001,-6.5800316152599,1
215,-48.7518310546875,-1.92224671609809,1
216,-60.5593872070312,-11.1595399375657,1
219,-43.4262084960938,-19.0319369483792,1
223,-38.239803314209,-5.64536911415852,1
238,-109.635229110718,28.7638595511879,1
242,11.6132354736328,1.54888358050199,1
250,-102.705774307251,21.1892935383207,1
254,-5.00873565673828,42.9760811205153,1
276,-69.852593,-0.738001,1
283,32.0402526855469,-19.2709616448699,1
288,32.2333,-20.8,1
291,32.28222222,-19.15722222,1
298,6.43661499023438,51.0502436076406,1
299,6.49360656738281,51.060386316691,1
300,11.3571166992188,53.0449284318618,1
301,14.556884765625,51.8194393802473,1
302,14.1737365722656,51.5742957487925,1
303,14.5119094848633,51.5264746494248,1
305,14.6402263641357,51.9105495547007,1
306,14.4058227539062,51.7848338937353,1
310,-41.09436035156251,-19.456881030166105,1
328,27.8306007385254,43.4408299511099,1
337,25.650072,41.467235,1
346,-81.0322,-5.82388,1
349,-75.11388889,-15.19777778,1
350,-76.2753295898438,-10.6799233230048,1
359,32.2359466552734,-28.6631774779078,1
367,-73.945731,40.655121,1
368,-91.237465,30.318416,1
371,-81.728713,38.060928,1
372,-111.425593164062,56.6886796668881,1
373,-105.285544395447,21.5317332385508,1
376,-128.55277609375,54.0008377938029,1
382,-94.0131848914461,50.1498813875732,1
383,-94.0127986534299,50.1499913852728,1
388,-129.9784004593,57.8356986484034,1
392,15.281038,46.236585,1
395,15.495014,45.960458,1
396,13.6238622665405,46.0605611759541,1
